COD_DISBAR,BARRIOS,NRO_PERSONAS,ANIO,LATITUD,LONGITUD
201,SIMANCAS,4705.0,2019,4476263.737,446981.6721
202,HELLÍN,1147.0,2019,4475772.544,447680.4837
203,AMPOSTA,1378.0,2019,4475241.334,447234.3454
204,ARCOS,2356.0,2019,4474693.643,447607.4973
205,ROSAS,1729.0,2019,4475395.532,449590.4285
206,REJAS,2896.0,2019,4477317.169,451648.3991
207,CANILLEJAS,4322.0,2019,4477135.693,448224.083
211,ALAMEDA DE OSUNA,1104.0,2019,4478581.448,449818.2184
212,AEROPUERTO,377.0,2019,4481029.075,452237.8537
213,CASCO HISTÓRICO DE BARAJAS,1388.0,2019,4480530.185,450931.3676
214,TIMÓN,1230.0,2019,4480810.557,448842.3002
215,CORRALEJOS,508.0,2019,4479457.295,448527.2781
