COD_DISBAR,BARRIOS,TIPO_VIVIENDA,PRECIO(EUROS/M2),ANIO,LATITUD,LONGITUD
107,LAS ÁGUILAS,USADAS,2175.83,2019,4470420.122,434547.9376
111,COMILLAS,USADAS,2499.15,2019,4471676.723,439576.9792
112,OPAÑEL,USADAS,2223.6,2019,4471320.131,438741.1131
113,SAN ISIDRO,USADAS,2162.99,2019,4472031.606,438190.5428
114,VISTA ALEGRE,USADAS,2119.9,2019,4470681.208,436700.7182
115,PUERTA BONITA,USADAS,1955.29,2019,4470159.472,437262.2706
116,BUENAVISTA,USADAS,2353.15,2019,4468769.588,436656.9012
117,ABRANTES,USADAS,1895.42,2019,4470074.329,438358.4198
121,ORCASITAS,USADAS,1828.99,2019,4468916.31,439516.2653
122,ORCASUR,USADAS,1723.88,2019,4469305.319,440733.1193
123,SAN FERMÍN,USADAS,1853.25,2019,4469120.886,441499.985
124,ALMENDRALES,USADAS,2146.67,2019,4470576.407,440645.9665
125,MOSCARDÓ,USADAS,2117.73,2019,4471173.407,440009.8419
126,ZOFÍO,USADAS,1918.9,2019,4470110.376,439279.8576
127,PRADOLONGO,USADAS,1879.58,2019,4469968.652,439974.4688
131,ENTREVÍAS,USADAS,1634.26,2019,4469574.278,442858.5724
132,SAN DIEGO,USADAS,1960.52,2019,4471262.193,443316.4678
133,PALOMERAS BAJAS,USADAS,1867.3,2019,4470671.33,444074.8694
134,PALOMERAS SURESTE,USADAS,1645.75,2019,4470708.716,445907.486
135,PORTAZGO,USADAS,1757.68,2019,4471314.521,444982.7317
136,NUMANCIA,USADAS,2008.42,2019,4472306.995,444116.7652
141,PAVONES,USADAS,2035.41,2019,4472183.36,446353.3523
142,HORCAJO,USADAS,0.0,2019,4473295.298,446804.3855
143,MARROQUINA,USADAS,2910.6,2019,4473543.376,445646.4672
144,MEDIA LEGUA,USADAS,2611.52,2019,4473682.217,444272.189
145,FONTARRÓN,USADAS,2306.92,2019,4472512.703,445115.9638
146,VINATEROS,USADAS,2375.1,2019,4472936.191,445482.8128
151,VENTAS,USADAS,2645.46,2019,4474850.803,445079.4926
152,PUEBLO NUEVO,USADAS,2422.36,2019,4475266.901,446095.6831
153,QUINTANA,USADAS,3144.46,2019,4476462.964,445289.7605
154,CONCEPCIÓN,USADAS,3990.49,2019,4476721.345,444934.1577
155,SAN PASCUAL,USADAS,4139.15,2019,4477117.637,444582.4
156,SAN JUAN BAUTISTA,USADAS,4081.73,2019,4477988.461,444343.151
157,COLINA,USADAS,4298.73,2019,4478807.34,444014.4325
158,ATALAYA,USADAS,4735.47,2019,4479501.192,443626.7881
159,COSTILLARES,USADAS,4199.32,2019,4480877.84,443334.1197
161,PALOMAS,USADAS,4222.62,2019,4478175.942,447754.9382
162,PIOVERA,USADAS,4728.02,2019,4478532.529,446151.4886
163,CANILLAS,USADAS,3280.84,2019,4479433.42,445426.2189
164,PINAR DEL REY,USADAS,2724.67,2019,4480401.898,445152.0269
165,APÓSTOL SANTIAGO,USADAS,3143.51,2019,4480844.351,444105.2521
166,VALDEFUENTES,USADAS,4176.52,2019,4482753.289,446176.0779
171,"VILLAVERDE ALTO, CASCO HISTÓRICO DE VILLAVERDE",USADAS,1584.98,2019,4465896.736,439786.7051
172,SAN CRISTÓBAL,USADAS,1307.73,2019,4465820.907,441533.8022
173,BUTARQUE,USADAS,1960.29,2019,4465394.096,442559.7779
174,LOS ROSALES,USADAS,1775.53,2019,4467464.76,441536.5956
175,LOS ÁNGELES,USADAS,1675.31,2019,4467482.211,440632.5318
181,CASCO HISTÓRICO DE VALLECAS,USADAS,2037.94,2019,4466332.267,447496.1334
182,SANTA EUGENIA,USADAS,1978.88,2019,4470494.392,448110.1432
183,ENSANCHE DE VALLECAS,USADAS,2445.52,2019,4468601.207,448851.2322
191,CASCO HISTÓRICO DE VICÁLVARO,USADAS,2142.2,2019,4471000.988,450789.392
192,VALDEBERNARDO,USADAS,2537.64,2019,4471960.93,447585.5543
201,SIMANCAS,USADAS,2499.07,2019,4476263.737,446981.6721
